Order ID,Order Item ID,Order YearMonth,Order Quantity,Product Department,Product Category,Product Name,Customer ID,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Mode,Shipment Days - Scheduled,Gross Sales,Discount %,Profit,Order Datetime,Shipment Datetime,Order Processing Time
3535,8793,201502,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7840,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.25,200,2015-02-21 14:07:00,2015-02-27,5
4133,10320,201503,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1203,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,400,0.09,200,2015-03-02 07:37:00,2015-03-06,3
7396,18517,201504,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10866,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.06,200,2015-04-18 22:47:00,2015-04-20,1
11026,27608,201506,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3576,Europe,Northern Europe,Denmark,Puerto Rico,Standard Class,4,400,0.15,200,2015-06-10 22:32:00,2015-06-12,1
11026,27609,201506,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3576,Europe,Northern Europe,Denmark,Puerto Rico,Standard Class,4,400,0.13,200,2015-06-10 22:32:00,2015-06-12,1
11026,27607,201506,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3576,Europe,Northern Europe,Denmark,Puerto Rico,Standard Class,4,400,0.16,200,2015-06-10 22:32:00,2015-06-12,1
19273,48192,201510,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2447,Europe,Western Europe,Netherlands,Puerto Rico,Standard Class,4,400,0.06,200,2015-10-09 07:50:00,2015-10-13,3
19566,48912,201510,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12088,Europe,Western Europe,Germany,Puerto Rico,Standard Class,4,400,0.12,200,2015-10-13 14:29:00,2015-10-15,1
21215,53077,201511,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10471,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.04,200,2015-11-06 16:12:00,2015-11-12,5
21846,54626,201511,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1588,Pacific Asia,Southeast Asia,Indonesia,Puerto Rico,Standard Class,4,400,0.02,200,2015-11-15 21:16:00,2015-11-17,1
21916,54821,201511,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9607,Pacific Asia,South Asia,Pakistan,Puerto Rico,Standard Class,4,400,0.04,200,2015-11-16 21:48:00,2015-11-18,1
23578,58984,201512,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1577,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.05,200,2015-12-11 04:04:00,2015-12-15,3
25301,63394,201601,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2848,Pacific Asia,South Asia,India,Puerto Rico,Standard Class,4,400,0.05,200,2016-01-05 07:43:00,2016-01-07,1
27376,68564,201602,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8986,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.01,200,2016-02-04 14:40:00,2016-02-06,1
27558,68986,201602,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10308,Pacific Asia,South Asia,India,Puerto Rico,Standard Class,4,400,0.12,200,2016-02-07 06:26:00,2016-02-11,3
29685,74266,201603,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10380,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.07,200,2016-03-09 07:37:00,2016-03-15,5
33816,84407,201605,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Standard Class,4,400,0.06,200,2016-05-08 14:54:00,2016-05-10,1
33816,84409,201605,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Standard Class,4,400,0.05,200,2016-05-08 14:54:00,2016-05-10,1
35603,88900,201606,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3918,North America,West of USA,USA,Puerto Rico,Standard Class,4,400,0.18,200,2016-06-03 16:57:00,2016-06-07,3
